specObjID,ra,dec,z,class,x,y,z_cart
421144044689713152,333.49774,-1.1851877,0.01006955,GALAXY,39.82581121836796,-19.85837844644123,-0.9206794320930352
642962827316848640,147.17522,3.6900613,0.01007194,GALAXY,-37.33597044419613,24.084251377652524,2.8654208029362653
380591305450874880,194.77134,-3.2043648,0.01007847,GALAXY,-43.01139066224271,-11.341085960297093,-2.490298709235492
2358840077712386048,179.73414,31.419679,0.01007944,GALAXY,-38.02190337663064,0.17642793005681837,23.22684759766408
1473875317285218304,171.55856,56.802195,0.01008276,GALAXY,-24.13910357761517,3.5823942585117514,37.29554574255852
1389377298297284608,146.91104,7.0180179,0.01008402,GALAXY,-37.06668498422156,24.153291898196013,5.446310506343039
9474713380562688000,229.19359,55.394837,0.01008619,GALAXY,-16.547217361496315,-19.16580052927987,36.69738222733644
8457941083565086720,131.84866,49.561289,0.0100867,GALAXY,-19.29503520500626,21.54347226034976,33.93548510853836
5485387194641438720,146.37125,6.3792611,0.01008858,GALAXY,-36.9023987056731,24.54459480592155,4.954992957826099
7664137662937454592,214.3139,58.710903,0.01008994,GALAXY,-19.132722006980075,-13.058260690752759,38.11471971236267
1967120087047497728,158.58412,13.750464,0.0100925,GALAXY,-40.342344042242615,15.822891601666358,10.604227645374468
2434198692832503808,233.82954,20.842378,0.01009498,GALAXY,-24.613178659134025,-33.66604942982133,15.877114597654673
673341784339802112,177.75963,64.327034,0.01009941,GALAXY,-19.326273596311893,0.7560780972858231,40.23632232160099
427878828304525312,345.33543,-0.92595697,0.01009961,GALAXY,43.184385363654926,-11.30067421094053,-0.7214656400115614
2946624992395159552,197.57686,20.68831,0.01010026,GALAXY,-39.81813646446355,-12.613359633596078,15.773141922761196
1952475965867190272,114.13208,41.43999,0.01010065,GALAXY,-13.68434815493156,30.545848064247338,29.55023177450936
1616802762824116224,167.13481,45.173392,0.01010074,GALAXY,-30.685991755030138,7.008411860253925,31.66723750677573
6495565156994799616,137.26823,20.581101,0.01010415,GALAXY,-30.71375573014567,28.373386372258814,15.700990215006893
1118168736298199040,146.03791,5.9368831,0.01010644,GALAXY,-36.854587091099745,24.82326946223352,4.620805870224016
9234857122432571392,206.01351,58.147004,0.01010736,GALAXY,-21.189970314135433,-10.34122482699077,37.950150003593656
2573932043687716864,137.33458,20.69732,0.01010843,GALAXY,-30.73609350749702,28.328123796581064,15.79244369533218
2573818793990055936,138.09938,18.77269,0.01010945,GALAXY,-31.491863531403208,28.25664823894445,14.381157135077496
